iris_id,sepal_length,sepal_width,petal_length,petal_width,species,event_timestamp
10002,3.52,4.39,5.9,0.17,virginica,2025-04-08 16:36:08
10003,2.47,4.3,4.18,0.31,setosa,2025-05-22 16:36:08
10004,2.4,4.38,2.73,2.23,virginica,2024-09-17 16:36:08
10005,5.1,4.32,2.5,2.3,virginica,2024-07-23 16:36:08
10006,2.77,4.38,5.54,1.93,virginica,2025-05-20 16:36:08
10007,3.07,4.34,6.13,0.23,versicolor,2024-08-15 16:36:08
10008,2.96,4.32,2.87,0.88,versicolor,2024-09-08 16:36:08
10009,4.42,4.38,3.01,1.1,setosa,2024-08-10 16:36:08
10010,7.43,4.37,4.04,0.96,versicolor,2025-05-21 16:36:08
10011,6.94,4.33,2.09,0.13,versicolor,2024-12-03 16:36:08
10012,2.33,4.39,3.48,0.35,versicolor,2025-02-16 16:36:08
10013,3.17,4.4,2.81,1.45,versicolor,2024-10-13 16:36:08
10014,5.02,4.34,4.05,0.32,versicolor,2025-06-18 16:36:08
10015,2.26,4.35,1.25,0.36,versicolor,2024-07-14 16:36:08
10016,3.22,4.33,6.0,2.35,versicolor,2024-11-24 16:36:08
10017,7.38,4.32,4.84,2.23,versicolor,2024-09-27 16:36:08
10018,2.46,4.38,2.41,1.51,versicolor,2024-11-05 16:36:08
10019,3.79,4.33,3.74,1.61,virginica,2024-10-05 16:36:08
10020,3.78,4.37,4.31,0.89,virginica,2025-05-01 16:36:08
10021,6.52,4.36,2.2,0.22,versicolor,2025-03-06 16:36:08
10022,5.12,4.39,2.37,1.41,setosa,2024-09-29 16:36:08
10023,6.19,4.31,4.01,0.28,virginica,2024-08-16 16:36:08
10024,2.31,4.35,2.11,0.91,versicolor,2024-10-27 16:36:08
10025,4.97,4.31,4.6,1.38,setosa,2025-01-21 16:36:08
10026,3.0,4.36,3.88,0.59,setosa,2025-02-03 16:36:08
10027,2.42,4.4,5.44,0.98,virginica,2025-01-29 16:36:08
10028,3.74,4.33,5.6,2.44,versicolor,2025-03-09 16:36:08
10029,6.89,4.34,1.75,1.84,setosa,2025-05-18 16:36:08
10030,6.62,4.39,6.15,0.6,versicolor,2025-04-29 16:36:08
10031,2.42,4.32,2.45,2.0,versicolor,2025-04-10 16:36:08
10032,5.91,4.34,6.52,0.28,versicolor,2025-04-19 16:36:08
